"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"297",21.97,1,0,0,0,0,1,1,1,0
"298",25.53,0,0,1,0,0,0,1,1,0
"299",20.74,1,0,1,0,0,0,1,0,0
"300",20.64,1,0,1,1,0,1,1,0,0
"301",23.09,1,0,0,0,0,0,1,0,0
"302",21.66,1,0,0,0,0,0,1,0,0
"303",29.51,1,0,1,0,0,0,1,0,0
"304",26.17,1,0,1,0,0,0,1,0,0
"305",20.25,1,0,0,0,0,0,1,0,0
"306",26.16,1,0,1,0,0,0,1,0,0
"307",26.83,1,0,1,0,0,1,1,0,0
"308",34.17,1,0,1,0,0,0,1,0,0
"309",19.67,1,0,1,0,0,0,1,0,0
"310",21.93,1,0,1,0,0,0,1,0,0
"311",32.7,1,0,1,0,0,0,1,0,0
"312",21.69,1,0,1,0,0,0,1,0,0
"313",19.22,1,0,1,0,0,0,1,0,0
"314",19.12,1,0,0,0,1,0,1,0,0
"315",22.49,1,0,1,0,0,0,1,0,0
"316",23.29,1,0,1,0,0,0,1,0,0
"317",19.18,1,0,0,0,0,0,1,0,0
"318",22.58,1,0,0,0,0,1,1,0,0
"319",26.61,1,0,1,0,0,0,1,0,0
"320",19.78,1,0,0,0,0,0,1,0,0
"321",27.74,1,0,0,0,0,0,1,0,0
"322",25.02,1,0,1,0,0,0,1,0,0
"323",27.03,0,0,1,0,0,0,1,0,0
"324",23.21,1,0,0,0,0,0,1,0,0
"325",27.69,0,1,1,0,0,0,1,0,0
"326",27.95,1,0,1,1,0,0,1,0,0
"327",18.62,1,0,0,0,0,1,1,0,0
"328",19.42,1,0,1,0,0,0,1,0,0
"329",20.78,0,0,0,0,0,0,1,0,0
"330",20.21,0,0,0,0,0,0,1,0,0
"331",16.68,0,0,0,0,0,0,1,0,0
"332",24.11,1,0,0,0,0,0,1,0,0
"333",21.34,1,0,1,0,0,0,1,0,0
"334",17.39,1,0,0,1,0,0,1,0,0
"335",21.88,1,0,0,0,0,0,1,0,0
"336",22.13,1,0,0,0,0,0,1,0,0
"337",23.49,1,0,0,0,0,0,1,0,0
"338",19.93,1,0,1,0,0,0,1,0,0
"339",18.48,1,0,1,0,0,0,1,0,0
"340",22.06,1,0,0,0,0,0,1,0,0
"341",21.57,1,0,0,0,0,0,1,0,0
"342",21.39,1,0,1,0,0,1,1,0,0
"343",18.97,0,0,1,0,0,0,1,0,0
"344",23.61,0,0,0,0,0,0,1,0,0
"345",20.82,0,1,0,0,0,0,1,0,0
"346",19.09,1,0,0,0,0,0,1,0,0
"347",17.7,1,0,0,0,0,1,1,1,0
"348",20.79,1,0,0,0,0,0,1,1,0
"349",28.85,1,0,0,0,0,1,1,1,0
"350",19.46,1,0,1,0,0,0,1,0,0
"351",19.37,1,0,0,0,0,0,1,0,0
"352",14.86,0,0,1,0,0,0,1,0,0
"353",21.47,1,0,0,0,0,0,1,0,0
"354",24.66,1,0,0,0,0,1,1,1,0
"355",15.26,1,0,1,0,0,0,1,0,0
